Car,IndIncome,IncomeCategory
1,5.952026,5
1,2.799118,2
1,3.800576,3
0,2.971102,2
1,3.964288,3
1,4.849687,4
1,2.248199,2
0,2.480587,2
1,5.693476,5
1,2.703985,2
0,1.785503,1
1,3.888569,3
1,2.502278,2
0,3.052811,3
1,4.208675,4
1,4.396504,4
1,3.161649,3
1,2.647949,2
1,2.936287,2
1,5.959936,5
1,2.668518,2
1,5.32982,5
1,1.739701,1
1,4.207236,4
1,2.271097,2
0,1.555286,1
1,2.945765,2
1,3.039821,3
1,1.871653,1
1,5.283366,5
1,3.109015,3
1,3.139666,3
1,3.556704,3
0,2.495966,2
1,1.027634,1
0,1.524839,1
1,4.045868,4
1,3.81179,3
1,4.932192,4
1,1.921438,1
1,2.407442,2
1,2.421125,2
0,1.43154,1
0,1.544765,1
1,4.772951,4
1,3.244141,3
1,1.100178,1
1,3.918352,3
1,3.475105,3
1,4.767614,4
1,2.369817,2
1,4.272477,4
1,5.465463,5
1,5.741241,5
1,1.259513,1
0,1.449033,1
0,1.995901,1
1,1.896403,1
0,2.961802,2
1,3.779328,3
1,2.764027,2
1,1.626773,1
0,1.570188,1
1,2.405609,2
0,1.262823,1
1,3.600904,3
0,5.820671,5
1,4.746063,4
1,4.891423,4
0,2.035578,2
0,1.262379,1
1,3.801727,3
1,1.893302,1
1,3.739326,3
1,2.634992,2
0,1.462143,1
1,4.815237,4
0,2.83737,2
1,4.694159,4
0,1.961114,1
0,1.482346,1
1,2.980255,2
0,4.573199,4
1,2.287569,2
1,4.307613,4
1,5.933048,5
1,4.685433,4
1,4.434432,4
1,3.274254,3
1,4.73495,4
1,4.99418,4
0,1.725691,1
1,2.38235,2
1,1.861582,1
1,1.840148,1
1,4.832577,4
1,1.905886,1
1,4.615929,4
1,2.914511,2
0,2.040751,2
1,5.443239,5
1,4.133778,4
0,4.687822,4
0,2.77716,2
1,1.809601,1
1,4.723554,4
1,3.471658,3
0,1.821007,1
0,2.005931,2
1,3.782218,3
1,1.452508,1
1,1.004522,1
1,4.697672,4
0,1.231381,1
1,5.927971,5
